song_name,timestamp,ax,ay,az,gx,gy,gz,la,rs,tp
timber,2026-09-01 15:35:18,0.1367,-0.0447,-0.9907,0.0017,0.0005,-0.0044,1.0011,0.0047,1.0058
timber,2026-09-01 15:35:18,0.136,-0.0437,-0.9883,-0.0007,0.0005,-0.0046,0.9986,0.0047,1.0033
timber,2026-09-01 15:35:18,0.134,-0.0413,-0.9871,-0.0029,0.001,-0.0049,0.997,0.0058,1.0028
timber,2026-09-01 15:35:18,0.135,-0.0386,-0.9858,-0.0056,0.0007,-0.0049,0.9957,0.0075,1.0032
timber,2026-09-01 15:35:19,0.134,-0.0393,-0.9856,0.0012,0.0007,-0.0044,0.9954,0.0046,1.0
timber,2026-09-01 15:35:19,0.136,-0.0408,-0.9885,0.0044,0.0005,-0.0039,0.9986,0.0059,1.0045
timber,2026-09-01 15:35:19,0.134,-0.0459,-0.989,0.0095,0.0007,-0.0039,0.9991,0.0103,1.0094
timber,2026-09-01 15:35:19,0.1353,-0.0435,-0.99,-0.0071,0.0005,-0.0051,1.0001,0.0088,1.0089
timber,2026-09-01 15:35:19,0.1333,-0.04,-0.9829,-0.0027,0.0005,-0.0046,0.9927,0.0054,0.9981
timber,2026-09-01 15:35:19,0.1348,-0.0427,-0.9893,0.0024,0.0005,-0.0046,0.9994,0.0052,1.0046
timber,2026-09-01 15:35:19,0.1338,-0.04,-0.9839,-0.0022,0.0007,-0.0046,0.9938,0.0051,0.9989
timber,2026-09-01 15:35:19,0.136,-0.042,-0.9871,0.0061,0.0007,-0.0042,0.9973,0.0074,1.0047
timber,2026-09-01 15:35:19,0.1333,-0.0442,-0.9866,0.0034,0.0005,-0.0044,0.9965,0.0056,1.0021
timber,2026-09-01 15:35:19,0.1348,-0.0432,-0.9895,-0.0063,0.0005,-0.0049,0.9996,0.008,1.0076
timber,2026-09-01 15:35:20,0.1345,-0.04,-0.9863,-0.0005,0.0007,-0.0049,0.9962,0.005,1.0012
timber,2026-09-01 15:35:20,0.1343,-0.0437,-0.9885,0.0034,0.0005,-0.0044,0.9985,0.0056,1.0041
telephone,2026-09-01 15:37:14,-0.8787,1.7634,-0.5178,-0.1467,-0.5076,0.8572,1.0371000000000001,1.007,2.0441
telephone,2026-09-01 15:37:14,-1.4702,-1.3938,-1.8462,-0.1887,-1.2754,3.085,1.7409,3.3436,5.0845
telephone,2026-09-01 15:37:14,0.1509,-1.3579,-0.9097,0.167,0.363,-0.7373,0.6414,0.8386,1.48
telephone,2026-09-01 15:37:14,0.1304,-0.6433,-0.8645,0.3086,0.5359,-1.9216,0.08539999999999992,2.0187,2.1041
telephone,2026-09-01 15:37:14,-0.9092,2.2246,-0.6726,-0.0249,0.2595,0.053,1.4956,0.266,1.7616
telephone,2026-09-01 15:37:14,-1.1602,0.4268,-0.9158,-0.3083,-0.9607,2.3838,0.5385,2.5885,3.127
telephone,2026-09-01 15:37:14,1.051,-2.729,-2.155,-0.332,0.229,0.5293,2.6326,0.6654,3.298
telephone,2026-09-01 15:37:14,0.481,-0.9265,-1.3259,0.2354,0.5488,-1.5466,0.6875,1.6579,2.3454
telephone,2026-09-01 15:37:15,-2.4668,1.9717,-1.1907,0.7017,1.2722,-2.0654,2.375,2.5252,4.9002
telephone,2026-09-01 15:37:15,-1.0288,1.6606,-0.4939,-0.3286,-0.8918,1.4668,1.0149,1.7478,2.7627
telephone,2026-09-01 15:37:15,0.553,-2.9976,-3.0615,-0.4875,-0.3179,2.188,3.3202,2.2641,5.5843
telephone,2026-09-01 15:37:15,0.1982,-1.1516,-1.0701,0.7017,0.3311,-1.0112,0.5845,1.2746,1.8591
telephone,2026-09-01 15:37:15,-1.9333,0.5144,-1.0974,0.4563,1.3005,-2.9199,1.2818,3.2288,4.5106
telephone,2026-09-01 15:37:15,-1.2119,2.3479,-0.1707,-0.0598,-0.1299,0.4863,1.6477,0.5069,2.1546
telephone,2026-09-01 15:37:15,-1.686,-0.3306,-1.1467,-0.0593,-1.1418,2.9924,1.0655999999999999,3.2034,4.269
telephone,2026-09-01 15:37:15,0.5054,-2.0125,-1.3965,0.0374,0.3696,-0.5195,1.5011999999999999,0.6387,2.1399
telephone,2026-09-01 15:37:15,-0.0344,-0.4175,-0.8911,0.2129,0.5688,-2.0332,0.01529999999999998,2.122,2.1373
telephone,2026-09-01 15:37:15,-1.6597,3.0508,-0.5183,0.0142,0.3721,-0.0142,2.5115,0.3726,2.8841
telephone,2026-09-01 15:37:16,-1.8323,-0.1982,-1.1663,-0.2354,-1.0745,3.1003,1.181,3.2897,4.4707
telephone,2026-09-01 15:37:16,0.4656,-2.5764,-1.5164,-0.3364,0.3364,-0.4714,2.0256,0.6697,2.6953
telephone,2026-09-01 15:37:16,0.3826,-0.6523,-1.0764,0.1169,0.4319,-1.843,0.3154999999999999,1.8965,2.212
telephone,2026-09-01 15:37:16,-1.8254,2.9036,-0.6641,0.0742,0.6179,-0.6982,2.4934,0.9353,3.4287
